,symboling,normalized-losses,make,aspiration,doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas
25,1,148.0,dodge,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7609.0,7.580645161290323,6.184210526315789,Low,False,True
26,1,148.0,dodge,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,8558.0,9.791666666666666,7.833333333333333,Low,False,True
27,-1,110.0,dodge,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,8921.0,9.791666666666666,7.833333333333333,Low,False,True
28,3,145.0,dodge,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12964.0,12.368421052631579,9.791666666666666,Medium,False,True
29,2,137.0,honda,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,6479.0,4.795918367346939,4.351851851851852,Low,False,True
30,2,137.0,honda,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,6855.0,7.580645161290323,6.184210526315789,Low,False,True
31,1,101.0,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,5399.0,6.184210526315789,5.595238095238095,Low,False,True
32,1,101.0,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,6529.0,7.833333333333333,6.911764705882353,Low,False,True
33,1,101.0,honda,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7129.0,7.833333333333333,6.911764705882353,Low,False,True
34,0,110.0,honda,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7295.0,7.833333333333333,6.911764705882353,Low,False,True
35,0,78.0,honda,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7295.0,7.833333333333333,6.911764705882353,Low,False,True
36,0,106.0,honda,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,7895.0,8.703703703703704,7.121212121212121,Low,False,True
37,0,106.0,honda,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9095.0,8.703703703703704,7.121212121212121,Low,False,True
38,0,85.0,honda,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8845.0,8.703703703703704,7.121212121212121,Low,False,True
39,0,85.0,honda,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,10295.0,8.703703703703704,7.121212121212121,Low,False,True
40,0,85.0,honda,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,12945.0,9.791666666666666,8.392857142857142,Low,False,True
41,1,107.0,honda,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,10345.0,9.4,7.580645161290323,Low,False,True
42,0,122.0,isuzu,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,6785.0,9.791666666666666,8.10344827586207,Low,False,True
43,2,122.0,isuzu,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,11048.0,9.791666666666666,8.10344827586207,Low,False,True
44,0,145.0,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,32250.0,15.666666666666666,12.368421052631579,Medium,False,True
45,0,122.0,jaguar,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,35550.0,15.666666666666666,12.368421052631579,Medium,False,True
46,0,122.0,jaguar,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,36000.0,18.076923076923077,13.823529411764707,High,False,True
47,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,5195.0,7.833333333333333,7.580645161290323,Low,False,True
48,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6095.0,7.580645161290323,6.184210526315789,Low,False,True
49,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6795.0,7.580645161290323,6.184210526315789,Low,False,True
50,1,113.0,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6695.0,7.580645161290323,6.184210526315789,Low,False,True
51,1,113.0,mazda,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7395.0,7.580645161290323,6.184210526315789,Low,False,True
52,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,10945.0,13.823529411764707,10.217391304347826,Low,False,True
53,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,11845.0,13.823529411764707,10.217391304347826,Low,False,True
54,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13645.0,13.823529411764707,10.217391304347826,Low,False,True
55,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,15645.0,14.6875,10.217391304347826,Medium,False,True
56,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,8845.0,9.038461538461538,7.34375,Low,False,True
57,0,115.0,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,8495.0,9.038461538461538,7.34375,Low,False,True
58,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,10595.0,9.038461538461538,7.34375,Low,False,True
59,0,115.0,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,10245.0,9.038461538461538,7.34375,Low,False,True
60,0,122.0,mazda,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,10795.0,6.527777777777778,5.595238095238095,Low,True,False
61,0,115.0,mazda,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11245.0,9.038461538461538,7.34375,Low,False,True
62,0,118.0,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,18280.0,12.368421052631579,8.703703703703704,Medium,False,True
63,0,122.0,mazda,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,18344.0,7.580645161290323,6.0256410256410255,Low,True,False
64,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25552.0,10.681818181818182,9.4,Medium,True,False
65,-1,93.0,mercedes-benz,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,28248.0,10.681818181818182,9.4,Medium,True,False
66,0,93.0,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,28176.0,10.681818181818182,9.4,Medium,True,False
67,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,31600.0,10.681818181818182,9.4,Medium,True,False
68,-1,122.0,mercedes-benz,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,34184.0,14.6875,13.055555555555555,Medium,False,True
69,3,142.0,mercedes-benz,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,35056.0,14.6875,13.055555555555555,Medium,False,True
70,0,122.0,mercedes-benz,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,40960.0,16.785714285714285,14.6875,Medium,False,True
71,1,122.0,mercedes-benz,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,45400.0,16.785714285714285,14.6875,Medium,False,True
72,1,122.0,mercury,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,16503.0,12.368421052631579,9.791666666666666,Medium,False,True
73,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,5389.0,6.351351351351352,5.7317073170731705,Low,False,True
74,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6189.0,7.580645161290323,6.184210526315789,Low,False,True
75,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6669.0,7.580645161290323,6.184210526315789,Low,False,True
76,1,161.0,mitsubishi,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,7689.0,9.791666666666666,7.833333333333333,Low,False,True
77,3,153.0,mitsubishi,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9959.0,10.217391304347826,7.833333333333333,Low,False,True
78,3,153.0,mitsubishi,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,8499.0,9.4,7.34375,Low,False,True
79,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12629.0,12.368421052631579,9.791666666666666,Medium,False,True
80,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,14869.0,12.368421052631579,9.791666666666666,Medium,False,True
81,3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,14489.0,12.368421052631579,9.791666666666666,Medium,False,True
82,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,6989.0,9.4,7.34375,Low,False,True
83,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,8189.0,9.4,7.34375,Low,False,True
84,1,125.0,mitsubishi,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9279.0,10.217391304347826,7.833333333333333,Low,False,True
85,-1,137.0,mitsubishi,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9279.0,10.217391304347826,7.833333333333333,Low,False,True
86,1,128.0,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,5499.0,7.580645161290323,6.351351351351352,Low,False,True
87,1,128.0,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,7099.0,5.222222222222222,4.7,Low,True,False
88,1,128.0,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,6649.0,7.580645161290323,6.351351351351352,Low,False,True
89,1,122.0,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,6849.0,7.580645161290323,6.351351351351352,Low,False,True
90,1,103.0,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7349.0,7.580645161290323,6.351351351351352,Low,False,True
91,1,128.0,nissan,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7299.0,7.580645161290323,6.351351351351352,Low,False,True
92,1,128.0,nissan,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7799.0,7.580645161290323,6.351351351351352,Low,False,True
93,1,122.0,nissan,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7499.0,7.580645161290323,6.351351351351352,Low,False,True
94,1,103.0,nissan,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7999.0,7.580645161290323,6.351351351351352,Low,False,True
95,2,168.0,nissan,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8249.0,7.580645161290323,6.351351351351352,Low,False,True
96,0,106.0,nissan,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8949.0,8.703703703703704,6.911764705882353,Low,False,True
97,0,106.0,nissan,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,9549.0,8.703703703703704,6.911764705882353,Low,False,True
98,0,128.0,nissan,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13499.0,13.823529411764707,10.681818181818182,Medium,False,True
99,0,108.0,nissan,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,14399.0,13.823529411764707,10.681818181818182,Medium,False,True
100,0,108.0,nissan,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13499.0,12.368421052631579,9.4,Medium,False,True
101,3,194.0,nissan,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,17199.0,12.368421052631579,9.4,Medium,False,True
102,3,194.0,nissan,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,19699.0,13.823529411764707,10.217391304347826,High,False,True
103,1,231.0,nissan,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,18399.0,12.368421052631579,9.4,Medium,False,True
104,0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,11900.0,12.368421052631579,9.791666666666666,Low,False,True
105,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,13200.0,8.392857142857142,7.121212121212121,Low,True,False
106,0,122.0,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12440.0,12.368421052631579,9.791666666666666,Low,False,True
107,0,122.0,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,13860.0,9.4,9.4,Low,True,False
108,0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,15580.0,12.368421052631579,9.791666666666666,Low,False,True
109,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,16900.0,8.392857142857142,7.121212121212121,Low,True,False
110,0,122.0,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,16695.0,12.368421052631579,9.791666666666666,Low,False,True
111,0,122.0,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,17075.0,9.4,9.4,Low,True,False
112,0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,16630.0,12.368421052631579,9.791666666666666,Low,False,True
113,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,17950.0,8.392857142857142,7.121212121212121,Low,True,False
114,0,161.0,peugot,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18150.0,13.055555555555555,9.791666666666666,Medium,False,True
115,1,119.0,plymouth,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,5572.0,6.351351351351352,5.7317073170731705,Low,False,True
116,1,119.0,plymouth,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,7957.0,9.791666666666666,7.833333333333333,Low,False,True
117,1,154.0,plymouth,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6229.0,7.580645161290323,6.184210526315789,Low,False,True
118,1,154.0,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6692.0,7.580645161290323,6.184210526315789,Low,False,True
119,1,154.0,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,7609.0,7.580645161290323,6.184210526315789,Low,False,True
120,-1,74.0,plymouth,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,8921.0,9.791666666666666,7.833333333333333,Low,False,True
121,3,122.0,plymouth,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12764.0,12.368421052631579,9.791666666666666,Medium,False,True
122,3,186.0,porsche,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,22018.0,12.368421052631579,8.703703703703704,Medium,False,True
123,3,122.0,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,32528.0,13.823529411764707,9.4,High,False,True
124,3,122.0,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,34028.0,13.823529411764707,9.4,High,False,True
125,3,122.0,porsche,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,37028.0,13.823529411764707,9.4,High,False,True
126,0,122.0,renault,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.25615763546799,,9295.0,10.217391304347826,7.580645161290323,Low,False,True
